Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.03     0.03        1    30.00    40.91  Image::convolution(Filter const&)
 16.67      0.05     0.02   782092     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  8.33      0.06     0.01  5767174     0.00     0.00  std::vector<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >, std::allocator<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > > >::operator[](unsigned long)
  8.33      0.07     0.01  5767168     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  8.33      0.08     0.01   255338     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  8.33      0.09     0.01        1    10.00    10.00  stbi__create_png_image_raw(stbi__png*, unsigned char*, unsigned int, int, unsigned int, unsigned int, int, int)
  8.33      0.10     0.01        1    10.00    42.73  Image::Image(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  8.33      0.11     0.01        1    10.00    30.00  stbi_write_png_to_mem
  8.33      0.12     0.01        1    10.00    20.00  stbi_zlib_compress
  0.00      0.12     0.00  5767171     0.00     0.00  std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::operator[](unsigned long)
  0.00      0.12     0.00  2359297     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) const
  0.00      0.12     0.00  2359296     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00      0.12     0.00   706544     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00      0.12     0.00   473758     0.00     0.00  stbi__zget8(stbi__zbuf*)
