Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.73      0.05     0.05        1    50.00   116.59  Image::convolution(Filter const&)
 18.18      0.09     0.04        1    40.00    50.00  stbi_zlib_compress
 15.91      0.13     0.04  9961478     0.00     0.00  std::vector<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >, std::allocator<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > > >::operator[](unsigned long)
 11.36      0.15     0.03  9961475     0.00     0.00  std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::operator[](unsigned long)
  4.55      0.16     0.01  9961472     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  4.55      0.17     0.01   239805     0.00     0.00  stbiw__zlib_bitrev(int, int)
  4.55      0.18     0.01     3072     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  4.55      0.19     0.01        4     2.50     2.50  std::vector<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >, std::allocator<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > > >::vector(unsigned long, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > const&, std::allocator<std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > > const&)
  4.55      0.20     0.01        1    10.00    18.03  Image::Image(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  4.55      0.21     0.01        1    10.00    10.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector(unsigned long, unsigned char const&, std::allocator<unsigned char> const&)
  4.55      0.22     0.01        1    10.00    70.00  stbi_write_png_to_mem
  0.00      0.22     0.00  6553601     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) const
  0.00      0.22     0.00  6553600     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
